timestamp,end_timestamp,activity_type,activity_summary,member,location,tag
2026-01-15 08:15:00,2026-01-15 08:45:00,comm,Ground science conference,"C,D",internal,
2026-01-15 08:58:00,2026-01-15 10:03:00,sampling,Air quality sampling,"A,B,C",internal,
2026-01-15 10:08:00,2026-01-15 11:23:00,exercise,Resistance exercise device session,"B,C,D",internal,
2026-01-15 11:43:00,2026-01-15 12:58:00,logistics,Inventory audit,"A,D",internal,
2026-01-15 13:18:00,2026-01-15 13:48:00,comm,Ground science conference,"B,D",internal,
2026-01-16 08:15:00,2026-01-16 09:32:00,logistics,Supply transfer,B,internal,
2026-01-16 09:42:00,2026-01-16 10:29:00,sampling,Acoustic level measurement,B,internal,
2026-01-16 10:43:00,2026-01-16 11:27:00,personal,Earth observation,B,internal,
2026-01-16 11:43:00,2026-01-16 12:13:00,sampling,Acoustic level measurement,"A,D",internal,
2026-01-16 12:22:00,2026-01-16 13:37:00,exercise,Resistance exercise device session,"A,D",internal,
2026-01-16 13:46:00,2026-01-16 14:16:00,comm,Ground science conference,"B,D",internal,
2026-01-16 14:30:00,2026-01-16 15:00:00,comm,Family conference,C,internal,
2026-01-16 15:10:00,2026-01-16 15:47:00,sampling,Surface microbial sampling,"A,D",internal,
2026-01-17 08:15:00,2026-01-17 09:30:00,exercise,Treadmill session,"C,D",internal,
2026-01-17 09:49:00,2026-01-17 10:19:00,comm,Evening DPC,"A,C,D",internal,
2026-01-17 10:33:00,2026-01-17 11:03:00,comm,Evening DPC,"A,D",internal,
2026-01-17 11:14:00,2026-01-17 12:29:00,exercise,Treadmill session,"A,C,D",internal,
2026-01-17 12:39:00,2026-01-17 13:37:00,research,Crew health survey,"A,D",internal,
2026-01-17 13:57:00,2026-01-17 15:12:00,personal,Personal time,D,internal,
2026-01-17 15:26:00,2026-01-17 16:39:00,repair,Exercise device maintenance,"B,D",internal,
2026-01-17 16:51:00,2026-01-17 17:55:00,repair,Air filter replacement,C,internal,
2026-01-18 08:15:00,2026-01-18 09:30:00,exercise,Treadmill session,A,internal,
2026-01-18 09:49:00,2026-01-18 11:06:00,personal,Personal time,C,internal,
2026-01-18 11:21:00,2026-01-18 11:56:00,logistics,Cargo stowage,"A,B,C",internal,
2026-01-18 12:08:00,2026-01-18 13:26:00,sampling,Water quality sampling,"B,D",internal,
2026-01-18 13:36:00,2026-01-18 14:06:00,comm,Ground science conference,"A,B",internal,
2026-01-18 14:24:00,2026-01-18 15:20:00,personal,Personal time,C,internal,
2026-01-18 15:35:00,2026-01-18 16:05:00,comm,Family conference,"C,D",internal,
2026-01-18 16:15:00,2026-01-18 17:30:00,exercise,Cycle ergometer session,"A,B",internal,
2026-01-19 08:15:00,2026-01-19 09:33:00,logistics,Trash consolidation,C,internal,
2026-01-19 09:39:00,2026-01-19 11:08:00,logistics,Cargo stowage,"A,D",internal,
2026-01-19 11:22:00,2026-01-19 12:32:00,personal,Earth observation,B,internal,
2026-01-19 12:44:00,2026-01-19 13:49:00,personal,Personal time,D,internal,
2026-01-19 13:54:00,2026-01-19 14:24:00,comm,Morning DPC,D,internal,
2026-01-19 14:36:00,2026-01-19 15:47:00,repair,Cable rerouting,"C,D",internal,
2026-01-19 15:56:00,2026-01-19 16:26:00,comm,Family conference,"A,D",internal,
2026-01-19 16:44:00,2026-01-19 17:59:00,exercise,Resistance exercise device session,"B,C",internal,
2026-01-20 08:15:00,2026-01-20 09:31:00,sampling,Air quality sampling,"A,B,D",internal,
2026-01-20 09:45:00,2026-01-20 10:15:00,comm,Ground science conference,"B,D",internal,
2026-01-20 10:31:00,2026-01-20 11:46:00,exercise,Cycle ergometer session,D,internal,
2026-01-20 11:57:00,2026-01-20 13:21:00,logistics,Supply transfer,C,internal,
2026-01-20 13:39:00,2026-01-20 14:09:00,comm,Morning DPC,"B,D",internal,
2026-01-21 08:15:00,2026-01-21 08:49:00,repair,Hatch seal inspection,"C,D",internal,
2026-01-21 09:09:00,2026-01-21 10:20:00,repair,Hatch seal inspection,"B,D",internal,
2026-01-21 10:27:00,2026-01-21 10:57:00,comm,Evening DPC,"A,B,D",internal,
2026-01-21 11:03:00,2026-01-21 11:33:00,comm,Morning DPC,"A,C",internal,
2026-01-21 11:40:00,2026-01-21 12:55:00,exercise,Cycle ergometer session,C,internal,
2026-01-21 13:14:00,2026-01-21 13:46:00,logistics,Inventory audit,C,internal,
2026-01-21 14:01:00,2026-01-21 15:16:00,exercise,Resistance exercise device session,"A,B",internal,
2026-01-21 15:32:00,2026-01-21 16:28:00,personal,Meal prep,B,internal,
2026-01-22 08:15:00,2026-01-22 09:42:00,logistics,Supply transfer,"A,B",internal,
2026-01-22 10:01:00,2026-01-22 11:16:00,exercise,Resistance exercise device session,"B,C,D",internal,
2026-01-22 11:32:00,2026-01-22 12:18:00,research,Combustion experiment setup,"B,D",internal,
2026-01-22 12:37:00,2026-01-22 13:13:00,personal,Earth observation,D,internal,
2026-01-22 13:25:00,2026-01-22 13:55:00,comm,Family conference,"A,C",internal,
2026-01-22 14:09:00,2026-01-22 14:39:00,comm,Family conference,A,internal,
2026-01-22 14:52:00,2026-01-22 16:07:00,exercise,Cycle ergometer session,C,internal,
2026-01-23 08:15:00,2026-01-23 08:45:00,comm,Family conference,"C,D",internal,
2026-01-23 08:52:00,2026-01-23 09:33:00,repair,Water recovery system repair,C,internal,
2026-01-23 09:44:00,2026-01-23 10:46:00,sampling,Air quality sampling,C,internal,
2026-01-23 10:59:00,2026-01-23 11:29:00,comm,Morning DPC,"A,B",internal,
2026-01-23 11:43:00,2026-01-23 12:58:00,exercise,Resistance exercise device session,D,internal,
2026-01-23 13:07:00,2026-01-23 14:00:00,repair,Water recovery system repair,"A,B",internal,
2026-01-24 08:15:00,2026-01-24 09:30:00,exercise,Treadmill session,"C,D",internal,
2026-01-24 09:37:00,2026-01-24 10:14:00,logistics,Inventory audit,A,internal,
2026-01-24 10:23:00,2026-01-24 11:24:00,sampling,Water quality sampling,B,internal,
2026-01-24 11:32:00,2026-01-24 12:02:00,comm,Family conference,"C,D",internal,
2026-01-24 12:19:00,2026-01-24 13:26:00,personal,Personal time,D,internal,
2026-01-24 13:35:00,2026-01-24 14:50:00,exercise,Resistance exercise device session,"A,B,D",internal,
2026-01-24 15:10:00,2026-01-24 16:03:00,repair,Cable rerouting,"A,D",internal,
2026-01-24 16:14:00,2026-01-24 16:44:00,comm,Family conference,"A,C",internal,
2026-01-25 08:15:00,2026-01-25 09:22:00,repair,Air filter replacement,C,internal,
2026-01-25 09:33:00,2026-01-25 10:53:00,repair,Water recovery system repair,"A,B",internal,
2026-01-25 10:58:00,2026-01-25 11:28:00,comm,Morning DPC,A,internal,
2026-01-25 11:41:00,2026-01-25 12:56:00,exercise,Cycle ergometer session,C,internal,
2026-01-25 13:05:00,2026-01-25 14:12:00,personal,Meal prep,A,internal,
2026-01-25 14:27:00,2026-01-25 15:13:00,repair,Water recovery system repair,D,internal,
2026-01-25 15:19:00,2026-01-25 16:34:00,exercise,Treadmill session,D,internal,
2026-01-25 16:42:00,2026-01-25 17:12:00,comm,Morning DPC,"A,B,D",internal,
2026-01-25 17:28:00,2026-01-25 18:44:00,research,Combustion experiment setup,"A,D",internal,
2026-01-26 08:15:00,2026-01-26 08:45:00,comm,Ground science conference,C,internal,
2026-01-26 08:52:00,2026-01-26 09:46:00,logistics,Cargo stowage,"A,D",internal,
2026-01-26 10:00:00,2026-01-26 10:30:00,comm,Family conference,"A,D",internal,
2026-01-26 10:41:00,2026-01-26 11:32:00,logistics,Cargo stowage,"C,D",internal,
2026-01-26 11:51:00,2026-01-26 13:06:00,exercise,Treadmill session,"C,D",internal,
2026-01-27 08:15:00,2026-01-27 09:22:00,repair,Cable rerouting,D,internal,
2026-01-27 09:37:00,2026-01-27 10:52:00,exercise,Resistance exercise device session,C,internal,
2026-01-27 11:10:00,2026-01-27 11:59:00,repair,Air filter replacement,B,internal,
2026-01-27 12:15:00,2026-01-27 13:27:00,logistics,Inventory audit,A,internal,
2026-01-27 13:47:00,2026-01-27 14:17:00,comm,Evening DPC,C,internal,
2026-01-27 14:33:00,2026-01-27 15:54:00,repair,Exercise device maintenance,"A,B,C",internal,
2026-01-27 16:12:00,2026-01-27 16:53:00,repair,Exercise device maintenance,"B,C",internal,
2026-01-27 17:06:00,2026-01-27 17:36:00,comm,Morning DPC,D,internal,
2026-01-28 08:15:00,2026-01-28 09:30:00,exercise,Treadmill session,"C,D",internal,
2026-01-28 09:40:00,2026-01-28 10:10:00,comm,Evening DPC,B,internal,
2026-01-28 10:17:00,2026-01-28 11:35:00,personal,Earth observation,A,internal,
2026-01-28 11:41:00,2026-01-28 12:39:00,repair,Cable rerouting,"B,D",internal,
2026-01-28 12:57:00,2026-01-28 13:27:00,comm,Morning DPC,"A,B,C",internal,
2026-01-28 13:38:00,2026-01-28 14:53:00,exercise,Cycle ergometer session,"B,C,D",internal,
2026-01-29 08:15:00,2026-01-29 09:30:00,exercise,Treadmill session,A,internal,
2026-01-29 09:45:00,2026-01-29 11:02:00,research,Combustion experiment setup,B,internal,
2026-01-29 11:20:00,2026-01-29 11:50:00,comm,Morning DPC,"A,B,C",internal,
2026-01-29 12:02:00,2026-01-29 12:59:00,repair,Water recovery system repair,"A,B",internal,
2026-01-29 13:04:00,2026-01-29 14:19:00,exercise,Treadmill session,"B,C,D",internal,
2026-01-29 14:37:00,2026-01-29 15:07:00,comm,Evening DPC,"A,B",internal,
2026-01-30 08:15:00,2026-01-30 09:32:00,repair,Air filter replacement,C,internal,
2026-01-30 09:47:00,2026-01-30 10:17:00,comm,Ground science conference,"A,C,D",internal,
2026-01-30 10:24:00,2026-01-30 10:54:00,comm,Morning DPC,B,internal,
2026-01-30 11:10:00,2026-01-30 12:25:00,exercise,Resistance exercise device session,"A,B",internal,
2026-01-30 12:34:00,2026-01-30 13:13:00,research,Combustion experiment setup,D,internal,
2026-01-30 13:20:00,2026-01-30 14:38:00,logistics,Trash consolidation,"B,C,D",internal,
2026-01-30 14:57:00,2026-01-30 15:55:00,repair,Cable rerouting,"C,D",internal,
2026-01-31 08:15:00,2026-01-31 09:26:00,logistics,Supply transfer,"A,B,D",internal,
2026-01-31 09:33:00,2026-01-31 11:01:00,repair,Air filter replacement,"C,D",internal,
2026-01-31 11:12:00,2026-01-31 11:42:00,comm,Morning DPC,"A,B",internal,
2026-01-31 11:48:00,2026-01-31 12:18:00,comm,Family conference,B,internal,
2026-01-31 12:28:00,2026-01-31 13:26:00,sampling,Air quality sampling,"B,C",internal,
2026-01-31 13:36:00,2026-01-31 14:51:00,exercise,Resistance exercise device session,"A,C",internal,
2026-01-31 15:09:00,2026-01-31 16:00:00,personal,Personal time,C,internal,
2026-02-01 08:15:00,2026-02-01 09:30:00,exercise,Resistance exercise device session,"A,B,C",internal,
2026-02-01 09:39:00,2026-02-01 10:59:00,personal,Personal time,B,internal,
2026-02-01 11:14:00,2026-02-01 12:25:00,repair,Cable rerouting,"A,B,C",internal,
2026-02-01 12:43:00,2026-02-01 13:13:00,comm,Family conference,C,internal,
2026-02-01 13:23:00,2026-02-01 13:53:00,comm,Evening DPC,B,internal,
2026-02-01 14:04:00,2026-02-01 14:38:00,sampling,Acoustic level measurement,A,internal,
2026-02-01 14:52:00,2026-02-01 16:18:00,research,Fluid physics experiment,"A,C,D",internal,
2026-02-02 08:15:00,2026-02-02 09:30:00,exercise,Treadmill session,B,internal,
2026-02-02 09:49:00,2026-02-02 11:10:00,repair,Water recovery system repair,C,internal,
2026-02-02 11:30:00,2026-02-02 12:28:00,logistics,Supply transfer,"C,D",internal,
2026-02-02 12:47:00,2026-02-02 13:27:00,logistics,Supply transfer,"A,B,D",internal,
2026-02-02 13:38:00,2026-02-02 14:08:00,comm,Ground science conference,"A,C,D",internal,
2026-02-02 14:24:00,2026-02-02 14:54:00,comm,Family conference,C,internal,
2026-02-03 08:15:00,2026-02-03 08:50:00,logistics,Inventory audit,A,internal,
2026-02-03 09:06:00,2026-02-03 09:36:00,comm,Morning DPC,"A,B",internal,
2026-02-03 09:44:00,2026-02-03 10:32:00,repair,Hatch seal inspection,D,internal,
2026-02-03 10:52:00,2026-02-03 11:22:00,comm,Ground science conference,A,internal,
2026-02-03 11:27:00,2026-02-03 12:10:00,research,Fluid physics experiment,"A,B,D",internal,
2026-02-03 12:19:00,2026-02-03 13:08:00,repair,Hatch seal inspection,B,internal,
2026-02-03 13:16:00,2026-02-03 14:31:00,exercise,Treadmill session,A,internal,
2026-02-03 14:50:00,2026-02-03 15:58:00,sampling,Acoustic level measurement,"A,B,C",internal,
2026-02-04 08:15:00,2026-02-04 08:45:00,comm,Family conference,"A,C",internal,
2026-02-04 09:02:00,2026-02-04 09:55:00,personal,Earth observation,A,internal,
2026-02-04 10:08:00,2026-02-04 11:28:00,logistics,Cargo stowage,"B,C",internal,
2026-02-04 11:35:00,2026-02-04 12:05:00,comm,Ground science conference,A,internal,
2026-02-04 12:20:00,2026-02-04 13:35:00,exercise,Resistance exercise device session,D,internal,
2026-02-04 13:50:00,2026-02-04 14:50:00,research,Combustion experiment setup,A,internal,
2026-02-05 08:15:00,2026-02-05 08:45:00,comm,Ground science conference,"A,C",internal,
2026-02-05 08:56:00,2026-02-05 10:11:00,exercise,Treadmill session,C,internal,
2026-02-05 10:24:00,2026-02-05 11:39:00,exercise,Cycle ergometer session,"B,D",internal,
2026-02-05 11:56:00,2026-02-05 12:57:00,sampling,Air quality sampling,"A,C",internal,
2026-02-05 13:17:00,2026-02-05 13:52:00,sampling,Acoustic level measurement,"B,C,D",internal,
2026-02-05 14:10:00,2026-02-05 14:40:00,comm,Ground science conference,C,internal,
2026-02-05 14:48:00,2026-02-05 15:37:00,repair,Cable rerouting,"A,B,D",internal,
2026-02-06 08:15:00,2026-02-06 08:45:00,comm,Morning DPC,D,internal,
2026-02-06 08:50:00,2026-02-06 09:28:00,repair,Cable rerouting,C,internal,
2026-02-06 09:35:00,2026-02-06 10:29:00,logistics,Inventory audit,"B,C,D",internal,
2026-02-06 10:35:00,2026-02-06 11:05:00,comm,Evening DPC,"A,C",internal,
2026-02-06 11:21:00,2026-02-06 12:24:00,personal,Earth observation,D,internal,
2026-02-06 12:40:00,2026-02-06 13:51:00,sampling,Surface microbial sampling,A,internal,
2026-02-06 14:04:00,2026-02-06 15:19:00,exercise,Cycle ergometer session,"C,D",internal,
2026-02-07 08:15:00,2026-02-07 08:50:00,personal,Personal time,C,internal,
2026-02-07 09:05:00,2026-02-07 10:10:00,research,Fluid physics experiment,"B,C",internal,
2026-02-07 10:24:00,2026-02-07 11:44:00,logistics,Trash consolidation,"A,B,C",internal,
2026-02-07 12:00:00,2026-02-07 12:45:00,research,Radiation monitoring check,C,internal,
2026-02-07 13:05:00,2026-02-07 13:35:00,comm,Morning DPC,"B,C",internal,
2026-02-07 13:51:00,2026-02-07 15:06:00,exercise,Resistance exercise device session,"C,D",internal,
2026-02-07 15:13:00,2026-02-07 16:13:00,sampling,Acoustic level measurement,"A,D",internal,
2026-02-07 16:31:00,2026-02-07 17:01:00,comm,Ground science conference,"C,D",internal,
2026-02-07 17:08:00,2026-02-07 18:23:00,exercise,Resistance exercise device session,"A,B,D",internal,
2026-02-08 08:15:00,2026-02-08 09:44:00,research,Crew health survey,"A,C",internal,
2026-02-08 09:56:00,2026-02-08 10:38:00,personal,Earth observation,B,internal,
2026-02-08 10:51:00,2026-02-08 12:06:00,exercise,Cycle ergometer session,"A,B,C",internal,
2026-02-08 12:13:00,2026-02-08 12:43:00,comm,Morning DPC,"A,C,D",internal,
2026-02-08 12:58:00,2026-02-08 13:28:00,comm,Morning DPC,D,internal,
2026-02-09 08:15:00,2026-02-09 09:11:00,logistics,Trash consolidation,"B,D",internal,
2026-02-09 09:31:00,2026-02-09 10:01:00,comm,Evening DPC,"B,C",internal,
2026-02-09 10:16:00,2026-02-09 11:34:00,research,Combustion experiment setup,"A,B,D",internal,
2026-02-09 11:50:00,2026-02-09 12:27:00,logistics,Cargo stowage,"A,B",internal,
2026-02-09 12:40:00,2026-02-09 13:55:00,exercise,Treadmill session,"C,D",internal,
2026-02-09 14:01:00,2026-02-09 14:46:00,sampling,Water quality sampling,"A,C",internal,
2026-02-09 14:56:00,2026-02-09 15:26:00,comm,Family conference,"B,C,D",internal,
2026-02-10 08:15:00,2026-02-10 09:30:00,exercise,Resistance exercise device session,"B,D",internal,
2026-02-10 09:38:00,2026-02-10 10:31:00,repair,Exercise device maintenance,"A,B",internal,
2026-02-10 10:48:00,2026-02-10 11:54:00,research,Combustion experiment setup,"A,C",internal,
2026-02-10 12:05:00,2026-02-10 12:35:00,comm,Evening DPC,"A,C,D",internal,
2026-02-10 12:54:00,2026-02-10 13:30:00,personal,Earth observation,C,internal,
2026-02-10 13:47:00,2026-02-10 14:52:00,sampling,Air quality sampling,B,internal,
2026-02-10 15:08:00,2026-02-10 15:38:00,comm,Evening DPC,A,internal,
2026-02-10 15:44:00,2026-02-10 16:59:00,research,Radiation monitoring check,"A,D",internal,
2026-02-10 17:14:00,2026-02-10 18:29:00,exercise,Treadmill session,"A,C",internal,
2026-02-11 08:15:00,2026-02-11 09:08:00,personal,Rest period,A,internal,
2026-02-11 09:23:00,2026-02-11 10:38:00,exercise,Treadmill session,D,internal,
2026-02-11 10:52:00,2026-02-11 11:22:00,comm,Evening DPC,D,internal,
2026-02-11 11:34:00,2026-02-11 12:04:00,comm,Morning DPC,B,internal,
2026-02-11 12:21:00,2026-02-11 13:27:00,personal,Personal time,B,internal,
2026-02-11 13:35:00,2026-02-11 14:33:00,personal,Meal prep,D,internal,
2026-02-11 14:48:00,2026-02-11 15:44:00,sampling,Surface microbial sampling,"C,D",internal,
2026-02-12 08:15:00,2026-02-12 09:30:00,exercise,Treadmill session,"A,C,D",internal,
2026-02-12 09:43:00,2026-02-12 10:48:00,sampling,Acoustic level measurement,C,internal,
2026-02-12 11:02:00,2026-02-12 12:17:00,logistics,Inventory audit,"B,C",internal,
2026-02-12 12:28:00,2026-02-12 12:58:00,comm,Family conference,"A,C",internal,
2026-02-12 13:11:00,2026-02-12 14:38:00,personal,Meal prep,C,internal,
2026-02-12 14:55:00,2026-02-12 15:43:00,logistics,Supply transfer,"A,B",internal,
2026-02-12 15:49:00,2026-02-12 16:19:00,comm,Ground science conference,"A,B",internal,
2026-02-13 08:15:00,2026-02-13 09:25:00,personal,Personal time,A,internal,
2026-02-13 09:37:00,2026-02-13 10:33:00,repair,Air filter replacement,"A,C",internal,
2026-02-13 10:48:00,2026-02-13 11:18:00,comm,Family conference,"B,C,D",internal,
2026-02-13 11:23:00,2026-02-13 12:38:00,exercise,Resistance exercise device session,"B,C",internal,
2026-02-13 12:49:00,2026-02-13 13:22:00,personal,Personal time,B,internal,
2026-02-13 13:29:00,2026-02-13 13:59:00,comm,Family conference,"A,B",internal,
2026-02-14 08:15:00,2026-02-14 09:41:00,sampling,Surface microbial sampling,"A,B,D",internal,
