timestamp,meal_type,item,kcal,protein_g,carbs_g,fat_g,tag
2026-01-21 07:15:00,breakfast,Tortilla with Peanut Butter,336,13,30,15,
2026-01-21 10:30:00,snack,Granola Bar,145,4,22,5,
2026-01-21 12:30:00,lunch,Beef Stew (thermostabilized),453,28,31,17,
2026-01-21 18:30:00,dinner,Spaghetti with Meat Sauce,479,23,67,16,
2026-01-21 20:30:00,snack,Dried Fruit,119,1,33,0,
2026-01-22 07:15:00,breakfast,Tortilla with Peanut Butter,298,14,28,15,
2026-01-22 12:15:00,lunch,Tuna Salad with Tortilla,399,24,35,14,
2026-01-22 18:45:00,dinner,Chili con Carne,491,29,47,21,
2026-01-23 06:30:00,breakfast,Cereal with Milk Powder,210,9,47,5,
2026-01-23 12:45:00,lunch,Chicken Fajita,427,30,38,17,
2026-01-23 18:45:00,dinner,Beef Stroganoff,500,26,39,22,
2026-01-24 06:30:00,breakfast,Oatmeal,282,8,48,6,
2026-01-24 12:00:00,lunch,Beef Stew (thermostabilized),435,26,30,16,
2026-01-24 18:45:00,dinner,Teriyaki Chicken with Rice,594,37,50,17,
2026-01-24 20:30:00,snack,Vitamin D Supplement,4,0,0,0,
2026-01-25 07:15:00,breakfast,Bacon (freeze-dried),174,15,1,14,
2026-01-25 12:15:00,lunch,Shrimp Pasta,414,24,61,14,
2026-01-25 18:00:00,dinner,Spaghetti with Meat Sauce,496,23,58,18,
2026-01-26 07:15:00,breakfast,Scrambled Eggs (freeze-dried),241,16,5,16,
2026-01-26 10:30:00,snack,Granola Bar,140,4,26,5,
2026-01-26 12:15:00,lunch,Tuna Salad with Tortilla,392,28,40,13,
2026-01-26 18:45:00,dinner,Cheese Tortilla Wrap,425,22,41,19,
2026-01-27 06:30:00,breakfast,Bacon (freeze-dried),180,13,1,12,
2026-01-27 12:30:00,lunch,Chicken Fajita,420,31,45,15,
2026-01-27 15:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-01-27 15:30:00,snack,Granola Bar,159,4,25,5,
2026-01-27 18:15:00,dinner,Cheese Tortilla Wrap,377,21,40,22,
2026-01-28 07:00:00,breakfast,Cereal with Milk Powder,229,9,40,5,
2026-01-28 12:15:00,lunch,Shrimp Pasta,444,24,62,15,
2026-01-28 15:30:00,snack,Chocolate Bar,240,3,24,11,
2026-01-28 18:15:00,dinner,Teriyaki Chicken with Rice,600,32,56,17,
2026-01-29 06:45:00,breakfast,Scrambled Eggs (freeze-dried),205,21,4,16,
2026-01-29 12:45:00,lunch,Beef Stew (thermostabilized),370,24,28,18,
2026-01-29 15:30:00,snack,Mixed Nuts,200,6,13,13,
2026-01-29 18:15:00,dinner,Beef Stroganoff,615,28,50,19,
2026-01-30 06:45:00,breakfast,Scrambled Eggs (freeze-dried),195,19,4,16,
2026-01-30 12:45:00,lunch,Beef Stew (thermostabilized),414,28,33,21,
2026-01-30 15:30:00,snack,Granola Bar,157,4,22,4,
2026-01-30 18:00:00,dinner,Beef Stroganoff,558,32,51,20,
2026-01-31 07:15:00,breakfast,Cereal with Milk Powder,254,9,36,5,
2026-01-31 12:45:00,lunch,Chicken Fajita,392,28,37,16,
2026-01-31 18:15:00,dinner,Cheese Tortilla Wrap,420,20,42,22,
2026-02-01 06:30:00,breakfast,Scrambled Eggs (freeze-dried),198,17,4,15,
2026-02-01 12:45:00,lunch,Chicken Fajita,399,32,42,17,
2026-02-01 15:30:00,snack,Chocolate Bar,180,3,27,12,
2026-02-01 18:45:00,dinner,Cheese Tortilla Wrap,422,21,45,21,
2026-02-02 07:00:00,breakfast,Canned Peaches,92,1,20,0,
2026-02-02 12:30:00,lunch,Tuna Salad with Tortilla,362,27,36,14,
2026-02-02 18:45:00,dinner,Spaghetti with Meat Sauce,496,23,63,20,
2026-02-03 07:15:00,breakfast,Cereal with Milk Powder,225,10,46,5,
2026-02-03 12:00:00,lunch,Tuna Salad with Tortilla,378,25,40,14,
2026-02-03 18:00:00,dinner,Cheese Tortilla Wrap,450,20,39,18,
2026-02-03 20:30:00,snack,Dried Fruit,129,1,32,0,
2026-02-04 07:15:00,breakfast,Bacon (freeze-dried),201,14,1,14,
2026-02-04 12:15:00,lunch,Beef Stew (thermostabilized),396,24,29,17,
2026-02-04 18:45:00,dinner,Spaghetti with Meat Sauce,590,25,54,20,
2026-02-04 20:30:00,snack,Dried Fruit,127,1,30,0,
2026-02-05 06:45:00,breakfast,Tortilla with Peanut Butter,290,14,30,18,
2026-02-05 10:30:00,snack,Cheese Spread with Crackers,177,7,15,11,
2026-02-05 12:30:00,lunch,Chicken Salad,411,35,19,17,
2026-02-05 15:30:00,snack,Cheese Spread with Crackers,203,8,18,9,
2026-02-05 18:00:00,dinner,Beef Stroganoff,505,28,46,25,
2026-02-06 07:15:00,breakfast,Oatmeal,224,9,48,5,
2026-02-06 10:30:00,snack,Vitamin D Supplement,4,0,0,0,
2026-02-06 12:15:00,lunch,Tuna Salad with Tortilla,399,22,35,14,
2026-02-06 18:45:00,dinner,Spaghetti with Meat Sauce,458,27,51,16,
2026-02-06 20:30:00,snack,Cheese Spread with Crackers,157,7,17,10,
2026-02-07 07:15:00,breakfast,Canned Peaches,100,1,19,0,
2026-02-07 12:15:00,lunch,Chicken Fajita,483,29,35,16,
2026-02-07 15:30:00,snack,Mixed Nuts,192,6,11,15,
2026-02-07 18:45:00,dinner,Spaghetti with Meat Sauce,468,23,52,17,
2026-02-08 06:45:00,breakfast,Oatmeal,227,9,47,5,
2026-02-08 12:15:00,lunch,Vegetable Soup,202,8,30,6,
2026-02-08 15:30:00,snack,Chocolate Bar,219,3,24,12,
2026-02-08 18:30:00,dinner,Salmon with Roasted Vegetables,506,29,20,23,
2026-02-09 07:15:00,breakfast,Cereal with Milk Powder,212,9,40,5,
2026-02-09 12:30:00,lunch,Shrimp Pasta,403,24,53,12,
2026-02-09 18:00:00,dinner,Chili con Carne,517,28,46,20,
2026-02-09 20:30:00,snack,Granola Bar,164,4,22,5,
2026-02-10 06:30:00,breakfast,Canned Peaches,101,1,21,0,
2026-02-10 10:30:00,snack,Dried Fruit,111,1,30,0,
2026-02-10 12:30:00,lunch,Vegetable Soup,235,7,28,6,
2026-02-10 18:15:00,dinner,Teriyaki Chicken with Rice,498,34,63,16,
2026-02-11 07:15:00,breakfast,Scrambled Eggs (freeze-dried),251,16,5,17,
2026-02-11 12:45:00,lunch,Shrimp Pasta,536,24,53,15,
2026-02-11 15:30:00,snack,Chocolate Bar,230,3,23,10,
2026-02-11 18:30:00,dinner,Spaghetti with Meat Sauce,526,24,63,19,
2026-02-12 07:00:00,breakfast,Tortilla with Peanut Butter,337,11,26,18,
2026-02-12 12:30:00,lunch,Shrimp Pasta,491,19,47,12,
2026-02-12 18:00:00,dinner,Salmon with Roasted Vegetables,422,36,18,24,
2026-02-13 06:45:00,breakfast,Tortilla with Peanut Butter,335,13,33,17,
2026-02-13 12:00:00,lunch,Chicken Fajita,476,27,39,14,
2026-02-13 15:30:00,snack,Mixed Nuts,187,7,14,16,
2026-02-13 18:00:00,dinner,Beef Stroganoff,618,29,50,23,
2026-02-13 20:30:00,snack,Mixed Nuts,183,6,14,13,
2026-02-14 06:45:00,breakfast,Oatmeal,282,7,49,5,
2026-02-14 10:30:00,snack,Granola Bar,157,3,21,5,
2026-02-14 12:15:00,lunch,Vegetable Soup,241,7,32,7,
2026-02-14 18:00:00,dinner,Cheese Tortilla Wrap,401,23,46,20,
2026-02-15 07:00:00,breakfast,Tortilla with Peanut Butter,256,11,27,16,
2026-02-15 12:00:00,lunch,Chicken Salad,377,35,20,14,
2026-02-15 15:30:00,snack,Chocolate Bar,207,3,23,11,
2026-02-15 18:15:00,dinner,Cheese Tortilla Wrap,487,17,43,22,
2026-02-16 06:30:00,breakfast,Cereal with Milk Powder,239,10,37,4,
2026-02-16 12:15:00,lunch,Vegetable Soup,191,7,31,6,
2026-02-16 15:30:00,snack,Granola Bar,148,4,23,5,
2026-02-16 18:45:00,dinner,Beef Stroganoff,620,30,44,23,
2026-02-16 20:30:00,snack,Mixed Nuts,177,6,13,15,
2026-02-17 06:30:00,breakfast,Canned Peaches,85,1,20,0,
2026-02-17 10:30:00,snack,Vitamin D Supplement,6,0,0,0,
2026-02-17 12:45:00,lunch,Shrimp Pasta,409,24,48,12,
2026-02-17 18:30:00,dinner,Chili con Carne,503,26,43,18,
2026-02-17 20:30:00,snack,Dried Fruit,106,1,31,0,
2026-02-18 07:15:00,breakfast,Oatmeal,238,7,50,5,
2026-02-18 12:15:00,lunch,Chicken Fajita,491,33,46,16,
2026-02-18 18:00:00,dinner,Cheese Tortilla Wrap,444,21,42,17,
2026-02-18 20:30:00,snack,Dried Fruit,129,1,29,0,
2026-02-19 07:15:00,breakfast,Tortilla with Peanut Butter,261,13,34,14,
2026-02-19 12:15:00,lunch,Vegetable Soup,212,8,27,6,
2026-02-19 15:30:00,snack,Mixed Nuts,197,6,12,15,
2026-02-19 18:00:00,dinner,Beef Stroganoff,602,27,48,19,
2026-02-20 06:30:00,breakfast,Tortilla with Peanut Butter,286,11,32,16,
2026-02-20 12:30:00,lunch,Vegetable Soup,190,8,31,5,
2026-02-20 18:15:00,dinner,Beef Stroganoff,583,32,42,19,
2026-02-20 20:30:00,snack,Cheese Spread with Crackers,176,6,16,9,
2026-02-21 07:15:00,breakfast,Scrambled Eggs (freeze-dried),244,16,3,17,
2026-02-21 10:30:00,snack,Dried Fruit,118,1,29,0,
2026-02-21 12:45:00,lunch,Chicken Fajita,460,32,39,13,
2026-02-21 18:30:00,dinner,Spaghetti with Meat Sauce,469,27,59,19,
2026-02-22 07:00:00,breakfast,Cereal with Milk Powder,258,8,46,4,
2026-02-22 12:00:00,lunch,Shrimp Pasta,474,20,60,13,
2026-02-22 18:15:00,dinner,Chili con Carne,424,23,38,19,
2026-02-23 07:15:00,breakfast,Oatmeal,257,8,46,5,
2026-02-23 12:30:00,lunch,Vegetable Soup,244,8,27,5,
2026-02-23 18:30:00,dinner,Salmon with Roasted Vegetables,523,33,19,21,
2026-02-24 06:30:00,breakfast,Cereal with Milk Powder,208,10,37,6,
2026-02-24 12:45:00,lunch,Chicken Salad,376,33,22,18,
2026-02-24 15:30:00,snack,Mixed Nuts,229,5,13,13,
2026-02-24 15:30:00,snack,Vitamin D Supplement,6,0,0,0,
2026-02-24 18:15:00,dinner,Salmon with Roasted Vegetables,454,32,18,21,
2026-02-25 07:15:00,breakfast,Cereal with Milk Powder,260,9,36,5,
2026-02-25 12:00:00,lunch,Chicken Fajita,427,31,39,14,
2026-02-25 18:15:00,dinner,Chili con Carne,437,27,37,17,
2026-02-25 20:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-02-26 07:00:00,breakfast,Canned Peaches,98,1,24,0,
2026-02-26 10:30:00,snack,Granola Bar,141,4,24,5,
2026-02-26 12:00:00,lunch,Shrimp Pasta,491,21,53,13,
2026-02-26 18:15:00,dinner,Teriyaki Chicken with Rice,533,37,50,18,
2026-02-26 20:30:00,snack,Vitamin D Supplement,4,0,0,0,
2026-02-27 06:45:00,breakfast,Oatmeal,235,8,47,6,
2026-02-27 10:30:00,snack,Cheese Spread with Crackers,173,8,18,10,
2026-02-27 12:45:00,lunch,Shrimp Pasta,406,21,59,16,
2026-02-27 15:30:00,snack,Dried Fruit,120,1,27,0,
2026-02-27 18:30:00,dinner,Cheese Tortilla Wrap,463,22,37,18,
2026-02-28 06:30:00,breakfast,Bacon (freeze-dried),188,16,1,11,
2026-02-28 12:00:00,lunch,Vegetable Soup,206,9,28,7,
2026-02-28 15:30:00,snack,Mixed Nuts,173,6,11,17,
2026-02-28 18:45:00,dinner,Teriyaki Chicken with Rice,491,38,60,18,
2026-03-01 06:30:00,breakfast,Oatmeal,246,7,48,5,
2026-03-01 12:15:00,lunch,Beef Stew (thermostabilized),362,32,30,20,
2026-03-01 18:45:00,dinner,Chili con Carne,453,22,37,17,
2026-03-01 20:30:00,snack,Granola Bar,170,4,23,5,
2026-03-02 06:30:00,breakfast,Bacon (freeze-dried),156,14,1,13,
2026-03-02 12:45:00,lunch,Chicken Salad,391,27,20,15,
2026-03-02 18:30:00,dinner,Teriyaki Chicken with Rice,548,35,51,16,
2026-03-02 20:30:00,snack,Vitamin D Supplement,4,0,0,0,
2026-03-03 07:15:00,breakfast,Cereal with Milk Powder,207,9,40,5,
2026-03-03 12:00:00,lunch,Chicken Fajita,429,32,42,16,
2026-03-03 18:30:00,dinner,Chili con Carne,409,25,40,19,
2026-03-04 07:15:00,breakfast,Canned Peaches,94,1,19,0,
2026-03-04 12:00:00,lunch,Tuna Salad with Tortilla,375,22,32,12,
2026-03-04 15:30:00,snack,Granola Bar,144,4,27,5,
2026-03-04 15:30:00,snack,Mixed Nuts,196,6,12,17,
2026-03-04 18:45:00,dinner,Beef Stroganoff,619,30,42,24,
2026-03-05 07:15:00,breakfast,Oatmeal,275,8,49,5,
2026-03-05 10:30:00,snack,Cheese Spread with Crackers,190,7,14,11,
2026-03-05 12:45:00,lunch,Chicken Salad,332,33,22,16,
2026-03-05 18:00:00,dinner,Beef Stroganoff,472,31,42,23,
2026-03-06 07:15:00,breakfast,Tortilla with Peanut Butter,280,14,34,14,
2026-03-06 12:45:00,lunch,Shrimp Pasta,451,24,58,16,
2026-03-06 18:45:00,dinner,Teriyaki Chicken with Rice,482,30,60,15,
2026-03-06 20:30:00,snack,Cheese Spread with Crackers,155,6,16,10,
2026-03-07 06:45:00,breakfast,Scrambled Eggs (freeze-dried),222,17,4,14,
2026-03-07 10:30:00,snack,Cheese Spread with Crackers,160,8,16,11,
2026-03-07 10:30:00,snack,Cheese Spread with Crackers,197,8,18,11,
2026-03-07 12:00:00,lunch,Chicken Salad,407,32,19,16,
2026-03-07 18:30:00,dinner,Beef Stroganoff,573,27,47,23,
2026-03-08 07:00:00,breakfast,Tortilla with Peanut Butter,335,13,32,18,
2026-03-08 12:15:00,lunch,Shrimp Pasta,511,22,49,13,
2026-03-08 18:15:00,dinner,Teriyaki Chicken with Rice,609,29,56,15,
2026-03-09 06:30:00,breakfast,Tortilla with Peanut Butter,261,12,32,16,
2026-03-09 12:45:00,lunch,Tuna Salad with Tortilla,439,23,40,15,
2026-03-09 18:45:00,dinner,Salmon with Roasted Vegetables,506,31,22,26,
2026-03-09 20:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-03-10 06:45:00,breakfast,Scrambled Eggs (freeze-dried),207,16,5,14,
2026-03-10 12:30:00,lunch,Vegetable Soup,243,7,31,6,
2026-03-10 18:30:00,dinner,Teriyaki Chicken with Rice,579,30,57,16,
2026-03-11 07:00:00,breakfast,Oatmeal,287,8,49,4,
2026-03-11 12:30:00,lunch,Chicken Salad,397,35,19,17,
2026-03-11 15:30:00,snack,Cheese Spread with Crackers,177,7,14,10,
2026-03-11 18:30:00,dinner,Salmon with Roasted Vegetables,500,30,18,26,
2026-03-12 07:00:00,breakfast,Oatmeal,268,8,48,5,
2026-03-12 12:45:00,lunch,Chicken Fajita,400,29,41,14,
2026-03-12 18:00:00,dinner,Salmon with Roasted Vegetables,447,30,18,22,
2026-03-12 20:30:00,snack,Cheese Spread with Crackers,176,8,18,11,
2026-03-12 20:30:00,snack,Chocolate Bar,198,3,26,11,
2026-03-13 07:15:00,breakfast,Bacon (freeze-dried),154,16,1,15,
2026-03-13 10:30:00,snack,Chocolate Bar,201,3,25,11,
2026-03-13 12:30:00,lunch,Beef Stew (thermostabilized),363,26,31,20,
2026-03-13 18:45:00,dinner,Chili con Carne,430,22,37,16,
2026-03-13 20:30:00,snack,Dried Fruit,115,1,26,0,
2026-03-14 06:30:00,breakfast,Tortilla with Peanut Butter,267,11,29,18,
2026-03-14 12:30:00,lunch,Vegetable Soup,237,7,30,6,
2026-03-14 18:00:00,dinner,Spaghetti with Meat Sauce,463,23,60,18,
2026-03-14 20:30:00,snack,Chocolate Bar,187,3,25,11,
2026-03-15 07:00:00,breakfast,Tortilla with Peanut Butter,301,12,30,16,
2026-03-15 12:00:00,lunch,Tuna Salad with Tortilla,384,27,40,14,
2026-03-15 18:00:00,dinner,Chili con Carne,473,24,44,21,
2026-03-15 20:30:00,snack,Chocolate Bar,193,3,26,11,
2026-03-16 06:45:00,breakfast,Oatmeal,223,9,40,4,
2026-03-16 12:45:00,lunch,Chicken Fajita,403,32,39,16,
2026-03-16 15:30:00,snack,Chocolate Bar,221,3,27,12,
2026-03-16 18:00:00,dinner,Salmon with Roasted Vegetables,510,32,20,28,
2026-03-16 20:30:00,snack,Cheese Spread with Crackers,173,8,16,10,
2026-03-17 07:15:00,breakfast,Tortilla with Peanut Butter,272,11,31,15,
2026-03-17 12:30:00,lunch,Chicken Fajita,478,32,40,15,
2026-03-17 15:30:00,snack,Cheese Spread with Crackers,205,8,15,9,
2026-03-17 18:30:00,dinner,Cheese Tortilla Wrap,403,20,41,22,
2026-03-18 07:15:00,breakfast,Bacon (freeze-dried),188,15,1,14,
2026-03-18 12:30:00,lunch,Chicken Fajita,401,31,41,14,
2026-03-18 18:15:00,dinner,Chili con Carne,479,23,41,19,
2026-03-19 06:45:00,breakfast,Canned Peaches,77,1,25,0,
2026-03-19 12:45:00,lunch,Tuna Salad with Tortilla,418,28,33,13,
2026-03-19 18:00:00,dinner,Spaghetti with Meat Sauce,544,22,64,20,
2026-03-20 07:15:00,breakfast,Oatmeal,290,7,51,6,
2026-03-20 12:45:00,lunch,Tuna Salad with Tortilla,362,28,39,13,
2026-03-20 18:00:00,dinner,Spaghetti with Meat Sauce,489,25,68,17,
2026-03-21 07:15:00,breakfast,Canned Peaches,101,1,22,0,
2026-03-21 10:30:00,snack,Granola Bar,149,5,20,5,
2026-03-21 12:30:00,lunch,Chicken Salad,342,32,19,14,
2026-03-21 15:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-03-21 18:30:00,dinner,Chili con Carne,500,27,45,16,
2026-03-22 07:00:00,breakfast,Bacon (freeze-dried),169,15,1,14,
2026-03-22 10:30:00,snack,Granola Bar,171,4,24,6,
2026-03-22 12:15:00,lunch,Shrimp Pasta,408,19,52,14,
2026-03-22 15:30:00,snack,Dried Fruit,127,1,32,0,
2026-03-22 18:30:00,dinner,Cheese Tortilla Wrap,455,21,45,19,
2026-03-23 06:30:00,breakfast,Oatmeal,262,8,43,6,
2026-03-23 10:30:00,snack,Cheese Spread with Crackers,202,7,14,9,
2026-03-23 12:00:00,lunch,Chicken Salad,417,36,18,16,
2026-03-23 18:30:00,dinner,Teriyaki Chicken with Rice,620,33,58,17,
2026-03-24 06:30:00,breakfast,Cereal with Milk Powder,244,9,40,4,
2026-03-24 10:30:00,snack,Cheese Spread with Crackers,195,8,18,10,
2026-03-24 12:00:00,lunch,Chicken Fajita,483,31,35,14,
2026-03-24 15:30:00,snack,Cheese Spread with Crackers,207,7,18,11,
2026-03-24 18:00:00,dinner,Spaghetti with Meat Sauce,588,21,68,15,
2026-03-25 06:45:00,breakfast,Scrambled Eggs (freeze-dried),230,17,4,15,
2026-03-25 10:30:00,snack,Mixed Nuts,219,6,13,17,
2026-03-25 12:15:00,lunch,Vegetable Soup,235,7,26,5,
2026-03-25 15:30:00,snack,Granola Bar,143,4,27,5,
2026-03-25 18:45:00,dinner,Beef Stroganoff,568,30,45,24,
2026-03-26 06:45:00,breakfast,Oatmeal,226,8,44,5,
2026-03-26 12:15:00,lunch,Chicken Salad,407,31,18,15,
2026-03-26 18:15:00,dinner,Spaghetti with Meat Sauce,521,22,66,19,
2026-03-27 07:00:00,breakfast,Tortilla with Peanut Butter,276,13,34,16,
2026-03-27 12:30:00,lunch,Tuna Salad with Tortilla,373,26,36,15,
2026-03-27 18:45:00,dinner,Teriyaki Chicken with Rice,569,29,52,17,
2026-03-27 20:30:00,snack,Cheese Spread with Crackers,170,7,14,10,
2026-03-28 06:45:00,breakfast,Oatmeal,244,8,49,6,
2026-03-28 10:30:00,snack,Vitamin D Supplement,4,0,0,0,
2026-03-28 10:30:00,snack,Mixed Nuts,218,6,13,14,
2026-03-28 12:45:00,lunch,Vegetable Soup,251,8,27,6,
2026-03-28 18:30:00,dinner,Teriyaki Chicken with Rice,585,38,61,14,
2026-03-29 07:00:00,breakfast,Bacon (freeze-dried),205,12,1,15,
2026-03-29 12:45:00,lunch,Chicken Salad,427,34,21,16,
2026-03-29 15:30:00,snack,Dried Fruit,120,1,26,0,
2026-03-29 18:30:00,dinner,Teriyaki Chicken with Rice,606,33,56,15,
2026-03-30 06:45:00,breakfast,Bacon (freeze-dried),173,14,1,12,
2026-03-30 12:00:00,lunch,Beef Stew (thermostabilized),390,32,31,18,
2026-03-30 15:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-03-30 18:15:00,dinner,Teriyaki Chicken with Rice,531,33,61,16,
2026-03-30 20:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-03-31 06:30:00,breakfast,Oatmeal,262,9,39,5,
2026-03-31 12:00:00,lunch,Chicken Salad,370,35,18,17,
2026-03-31 15:30:00,snack,Chocolate Bar,220,3,26,11,
2026-03-31 18:15:00,dinner,Spaghetti with Meat Sauce,521,23,62,19,
2026-03-31 20:30:00,snack,Mixed Nuts,213,6,11,15,
2026-04-01 06:30:00,breakfast,Oatmeal,293,8,42,5,
2026-04-01 12:30:00,lunch,Chicken Fajita,419,29,38,15,
2026-04-01 18:15:00,dinner,Cheese Tortilla Wrap,493,18,42,22,
2026-04-01 20:30:00,snack,Vitamin D Supplement,5,0,0,0,
2026-04-01 20:30:00,snack,Mixed Nuts,171,5,12,15,
2026-04-02 06:30:00,breakfast,Tortilla with Peanut Butter,336,14,28,18,
2026-04-02 12:45:00,lunch,Shrimp Pasta,438,25,58,13,
2026-04-02 18:00:00,dinner,Cheese Tortilla Wrap,389,22,34,18,
2026-04-02 20:30:00,snack,Granola Bar,164,5,23,5,
2026-04-03 07:00:00,breakfast,Canned Peaches,87,1,24,0,
2026-04-03 12:30:00,lunch,Chicken Salad,329,31,22,15,
2026-04-03 15:30:00,snack,Cheese Spread with Crackers,165,7,15,9,
